,DateTime,Close,WAP,Volume,High,Low,Time Received
540,20220503  13:00:00,8.2932,8.28068,2423,8.3299,8.2001,2022-05-03 18:30:28.016137
541,20220503  13:01:00,8.29,8.28446,1818,8.335,8.23,2022-05-03 18:30:28.016137
542,20220503  13:02:00,8.12,8.21087,1851,8.3046,8.11,2022-05-03 18:30:28.016137
543,20220503  13:03:00,8.065,8.12145,1578,8.22,8.05,2022-05-03 18:30:28.016137
544,20220503  13:04:00,8.0,7.96818,2718,8.0693,7.9,2022-05-03 18:30:28.016137
545,20220503  13:05:00,8.0456,8.03544,759,8.11,7.99,2022-05-03 18:30:28.016137
546,20220503  13:06:00,8.17,8.12961,1138,8.19,8.055,2022-05-03 18:30:28.016137
547,20220503  13:07:00,8.0501,8.06612,861,8.15,8.0,2022-05-03 18:30:28.016137
548,20220503  13:08:00,8.035,8.05749,454,8.1,8.01,2022-05-03 18:30:28.016137
549,20220503  13:09:00,8.03,8.03047,835,8.1,8.0,2022-05-03 18:30:28.016137
550,20220503  13:10:00,8.01,8.01188,1102,8.0683,8.0,2022-05-03 18:30:28.016137
551,20220503  13:11:00,7.9,7.91131,1370,8.01,7.8301,2022-05-03 18:30:28.016137
552,20220503  13:12:00,7.85,7.84867,1053,7.9,7.8,2022-05-03 18:30:28.017135
553,20220503  13:13:00,7.7974,7.81318,833,7.86,7.74,2022-05-03 18:30:28.017135
554,20220503  13:14:00,7.7976,7.79306,1065,7.87,7.77,2022-05-03 18:30:28.017135
555,20220503  13:15:00,7.69,7.68347,2419,7.8,7.57,2022-05-03 18:30:28.017135
556,20220503  13:16:00,7.6799,7.67856,1455,7.78,7.61,2022-05-03 18:30:28.017135
557,20220503  13:17:00,7.61,7.66996,950,7.73,7.61,2022-05-03 18:30:28.017135
558,20220503  13:18:00,7.68,7.66378,397,7.6978,7.62,2022-05-03 18:30:28.017135
559,20220503  13:19:00,7.71,7.69858,633,7.73,7.66,2022-05-03 18:30:28.017135
560,20220503  13:20:00,7.6856,7.69704,441,7.7277,7.66,2022-05-03 18:30:28.017135
561,20220503  13:21:00,7.67,7.70048,473,7.73,7.66,2022-05-03 18:30:28.017135
562,20220503  13:22:00,7.6987,7.67253,438,7.6999,7.66,2022-05-03 18:30:28.017135
563,20220503  13:23:00,7.37,7.45598,2825,7.69,7.24,2022-05-03 18:30:28.017135
564,20220503  13:24:00,7.34,7.34582,2484,7.41,7.2601,2022-05-03 18:30:28.017135
565,20220503  13:25:00,7.44,7.40377,1310,7.47,7.3301,2022-05-03 18:30:28.017135
566,20220503  13:26:00,7.43,7.46159,748,7.4889,7.42,2022-05-03 18:30:28.017135
567,20220503  13:27:00,7.42,7.4242,802,7.48,7.3801,2022-05-03 18:30:28.017135
568,20220503  13:28:00,7.51,7.49251,1090,7.54,7.4201,2022-05-03 18:30:28.017135
